fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Cachoeiras de Macacu;Centro Fluminense;2015;3;0;0;3;0;3;0;27;1;12;8;4;0;1;5;2;3;0;153
Cambuci;Noroeste Fluminense;2015;0;0;0;0;0;0;1;8;0;1;1;0;0;0;2;0;1;0;43
Carapebus;Norte Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2015;12;0;0;12;0;12;15;102;8;85;19;54;15;12;159;41;40;0;1177
Cantagalo;Centro Fluminense;2015;1;0;0;1;0;1;0;8;1;6;5;0;1;4;0;0;2;0;61
Cardoso Moreira;Norte Fluminense;2015;0;0;0;0;0;0;0;18;1;14;10;4;0;0;3;0;1;0;85
Carmo;Centro Fluminense;2015;0;0;0;0;0;0;1;7;0;1;0;0;1;0;0;0;2;0;46
Casimiro de Abreu;Baixadas Litorâneas;2015;1;0;0;1;0;1;1;17;1;7;4;3;0;5;9;0;3;0;115
Conceição de Macabu;Norte Fluminense;2015;1;0;0;1;0;1;1;5;1;5;4;1;0;1;0;0;1;0;63
Cordeiro;Centro Fluminense;2015;0;0;0;0;0;0;0;5;1;6;6;0;0;0;2;0;1;0;52
Duas Barras;Centro Fluminense;2015;0;0;0;0;0;0;0;14;0;0;0;0;0;2;0;0;1;0;27
Duque de Caxias;Metropolitana do Rio de Janeiro;2015;32;0;1;33;6;39;28;320;18;57;7;48;2;142;117;40;87;1;3097
Engenheiro Paulo de Frontin;Sul Fluminense;2015;0;0;0;0;0;0;0;12;1;4;2;2;0;0;3;0;1;0;57
Guapimirim;Metropolitana do Rio de Janeiro;2015;0;0;0;0;0;0;1;24;1;4;1;3;0;1;6;2;1;1;162
Iguaba Grande;Baixadas Litorâneas;2015;0;0;0;0;0;0;0;8;0;1;1;0;0;2;2;0;3;0;73
Itaboraí;Metropolitana do Rio de Janeiro;2015;3;0;0;3;3;6;6;65;9;34;4;31;0;15;77;13;12;0;650
Itaguaí;Metropolitana do Rio de Janeiro;2015;2;0;1;3;0;3;2;40;0;9;1;6;2;22;25;4;13;0;486
Italva;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itaocara;Noroeste Fluminense;2015;0;0;0;0;0;0;0;8;1;16;13;2;1;0;0;0;3;0;82
Itaperuna;Noroeste Fluminense;2015;0;0;0;0;0;0;1;25;3;48;29;15;5;0;41;2;9;0;316
Itatiaia;Sul Fluminense;2015;0;0;0;0;0;0;2;19;2;15;12;2;1;1;11;0;8;0;143
Japeri;Metropolitana do Rio de Janeiro;2015;1;0;0;1;0;1;8;57;4;9;1;5;3;7;13;0;117;0;375
Laje do Muriaé;Noroeste Fluminense;2015;0;0;0;0;0;0;1;3;0;2;2;0;0;0;0;0;2;0;19
Macaé;Norte Fluminense;2015;7;0;0;7;0;7;6;64;2;18;4;13;2;17;56;8;12;0;720
Macuco;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magé;Metropolitana do Rio de Janeiro;2015;4;0;0;4;0;4;6;87;4;17;5;10;2;15;23;6;31;0;628
Mangaratiba;Sul Fluminense;2015;0;0;0;0;0;0;0;14;1;5;3;2;0;1;8;1;4;0;145
Maricá;Metropolitana do Rio de Janeiro;2015;3;0;0;3;0;3;3;73;5;17;8;9;1;11;24;6;7;1;592
Mendes;Sul Fluminense;2015;0;0;0;0;0;0;0;9;1;6;3;3;0;1;2;2;2;0;59
Mesquita;Metropolitana do Rio de Janeiro;2015;3;0;0;3;1;4;6;72;8;14;2;11;1;27;25;13;120;0;806
Miguel Pereira;Sul Fluminense;2015;0;0;0;0;0;0;3;16;0;10;5;5;0;2;9;0;5;0;140
Miracema;Noroeste Fluminense;2015;0;0;0;0;0;0;1;6;1;29;20;5;4;0;7;3;22;1;147
Natividade;Noroeste Fluminense;2015;0;0;0;0;0;0;0;8;2;7;6;2;0;1;3;0;1;0;56
Nilópolis;Metropolitana do Rio de Janeiro;2015;2;0;0;2;0;2;0;84;2;6;1;4;1;30;16;3;14;0;758
Niterói;Metropolitana do Rio de Janeiro;2015;6;0;0;6;2;8;8;205;13;62;14;43;6;113;124;46;59;3;2448
Nova Friburgo;Centro Fluminense;2015;2;0;0;2;0;2;1;88;3;59;25;32;2;10;62;20;12;0;650
Nova Iguaçu;Metropolitana do Rio de Janeiro;2015;35;0;0;35;1;36;22;245;24;42;10;29;4;103;118;28;212;0;3122
Paracambi;Metropolitana do Rio de Janeiro;2015;2;0;0;2;0;2;0;29;1;11;5;4;2;3;11;2;5;1;148
Paraíba do Sul;Centro Fluminense;2015;1;0;0;1;0;1;0;12;0;20;17;2;1;0;4;1;3;0;98
Paraty;Sul Fluminense;2015;0;1;0;1;0;1;7;13;3;11;4;7;1;1;12;3;8;0;191
Paty do Alferes;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petrópolis;Centro Fluminense;2015;1;0;0;1;0;1;0;116;12;56;15;40;2;23;63;5;33;0;797
Pinheiral;Sul Fluminense;2015;0;0;0;0;0;0;0;13;0;7;5;2;0;0;4;0;0;0;69
Piraí;Sul Fluminense;2015;0;0;0;0;0;0;0;16;1;20;4;17;0;0;20;3;2;0;95
Porciúncula;Noroeste Fluminense;2015;0;0;0;0;0;0;0;12;0;5;4;1;0;1;1;0;2;0;60
Porto Real;Sul Fluminense;2015;0;0;0;0;0;0;0;9;0;7;5;2;0;0;5;1;1;0;54
Quatis;Sul Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Queimados;Metropolitana do Rio de Janeiro;2015;12;0;0;12;0;12;15;84;4;11;0;9;2;9;18;10;10;0;488
Quissamã;Norte Fluminense;2015;2;0;0;2;0;2;3;18;2;0;0;0;0;4;0;0;2;0;96
Resende;Sul Fluminense;2015;2;0;0;2;0;2;4;62;1;17;6;12;1;8;48;9;14;0;449
Rio Bonito;Baixadas Litorâneas;2015;1;0;0;1;0;1;0;23;5;13;4;8;2;4;19;3;6;1;176
Rio Claro;Sul Fluminense;2015;1;0;0;1;0;1;0;5;0;1;0;1;0;0;1;0;3;0;40
Rio das Flores;Sul Fluminense;2015;0;0;0;0;0;0;0;2;1;2;1;1;0;0;1;0;0;0;23
Rio das Ostras;Baixadas Litorâneas;2015;4;1;0;5;0;5;8;58;2;9;0;6;3;4;26;6;14;0;452
Rio de Janeiro;Metropolitana do Rio de Janeiro;2015;117;0;4;121;18;139;196;2335;118;761;386;288;93;948;1073;295;646;33;31124
Santa Maria Madalena;Norte Fluminense;2015;0;0;0;0;0;0;0;5;1;0;0;0;0;0;2;0;0;0;24
Santo Antônio de Pádua;Noroeste Fluminense;2015;1;0;0;1;0;1;0;16;0;24;16;7;1;1;11;2;5;0;164
São Francisco de Itabapoana;Norte Fluminense;2015;1;0;0;1;0;1;2;14;0;6;3;4;0;2;15;2;1;0;103
São Fidélis;Norte Fluminense;2015;0;0;0;0;0;0;0;11;3;12;8;5;0;4;9;0;1;0;98
São Gonçalo;Metropolitana do Rio de Janeiro;2015;23;0;2;25;8;33;27;272;20;112;8;102;4;198;205;77;53;3;3595
São João da Barra;Norte Fluminense;2015;0;0;0;0;0;0;0;18;0;8;2;4;2;3;3;3;2;1;158
São João de Meriti;Metropolitana do Rio de Janeiro;2015;9;0;0;9;1;10;7;157;11;37;3;30;5;87;64;11;19;0;1633
São José de Ubá;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
São José do Vale do Rio Preto;Centro Fluminense;2015;0;0;0;0;0;0;0;2;0;1;1;0;0;0;4;0;4;0;40
São Pedro da Aldeia;Baixadas Litorâneas;2015;1;0;0;1;1;2;6;22;1;10;3;5;2;6;14;7;9;2;195
São Sebastião do Alto;Centro Fluminense;2015;1;0;0;1;0;1;0;2;0;1;0;1;0;0;1;0;0;0;15
Sapucaia;Centro Fluminense;2015;0;0;0;0;0;0;0;10;2;1;1;0;0;0;0;0;1;0;40
Saquarema;Baixadas Litorâneas;2015;1;0;0;1;0;1;4;41;0;8;4;4;0;6;18;1;7;0;292
Seropédica;Metropolitana do Rio de Janeiro;2015;5;0;0;5;0;5;9;22;4;9;1;7;1;18;14;5;6;0;224
Silva Jardim;Baixadas Litorâneas;2015;0;0;0;0;0;0;0;10;1;7;3;1;3;0;0;0;3;0;60
Sumidouro;Centro Fluminense;2015;0;0;0;0;0;0;0;4;2;0;0;0;0;1;1;0;0;0;30
Tanguá;Metropolitana do Rio de Janeiro;2015;0;0;0;0;0;0;0;2;1;6;2;4;1;2;7;1;1;0;58
Teresópolis;Centro Fluminense;2015;0;0;0;0;0;0;2;61;5;43;22;23;0;7;53;8;15;1;535
Trajano de Moraes;Centro Fluminense;2015;1;0;0;1;0;1;0;5;0;2;1;0;1;0;2;0;0;0;29
Três Rios;Centro Fluminense;2015;1;0;0;1;0;1;0;43;2;35;23;13;0;6;28;1;28;0;360
Valença;Sul Fluminense;2015;0;0;0;0;0;0;0;19;3;23;15;10;0;0;16;3;9;0;146
Varre-Sai;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vassouras;Centro Fluminense;2015;1;0;0;1;0;1;2;20;0;9;7;2;0;1;10;0;4;0;97
Volta Redonda;Sul Fluminense;2015;5;0;0;5;0;5;5;74;2;56;17;38;3;5;64;22;21;0;679
Angra dos Reis;Sul Fluminense;2015;3;0;0;3;0;3;11;43;5;13;6;5;2;2;17;3;12;0;345
Aperibé;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Araruama;Baixadas Litorâneas;2015;5;0;0;5;0;5;6;40;2;23;10;10;4;9;17;3;9;0;434
Areal;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armação dos Búzios;Baixadas Litorâneas;2015;0;0;0;0;0;0;1;13;2;15;5;9;1;5;23;2;9;0;195
Arraial do Cabo;Baixadas Litorâneas;2015;0;0;0;0;0;0;1;13;0;5;3;1;1;1;0;1;2;0;93
Barra do Piraí;Sul Fluminense;2015;0;0;0;0;0;0;1;34;3;19;11;7;1;0;9;2;10;0;218
Barra Mansa;Sul Fluminense;2015;3;0;0;3;0;3;4;62;0;32;12;19;1;4;38;3;18;0;415
Belford Roxo;Metropolitana do Rio de Janeiro;2015;12;0;0;12;4;16;19;115;8;33;2;30;1;72;67;16;34;0;940
Bom Jardim;Centro Fluminense;2015;0;0;0;0;0;0;1;13;0;2;1;1;0;2;3;0;2;0;58
Bom Jesus do Itabapoana;Noroeste Fluminense;2015;0;0;0;0;0;0;0;16;0;6;4;2;0;2;7;3;3;0;99
Cabo Frio;Baixadas Litorâneas;2015;3;0;0;3;0;3;11;86;4;77;21;56;2;8;79;27;9;0;686
Cachoeiras de Macacu;Centro Fluminense;2015;0;1;0;1;0;1;0;20;3;2;1;1;0;1;4;0;6;0;145
Cambuci;Noroeste Fluminense;2015;0;0;0;0;0;0;0;3;0;3;3;0;0;0;0;0;4;0;32
Carapebus;Norte Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2015;11;0;0;11;0;11;17;106;21;96;24;55;17;12;119;37;31;0;1283
Cantagalo;Centro Fluminense;2015;0;0;0;0;0;0;0;12;1;6;4;2;0;0;2;0;2;0;63
Cardoso Moreira;Norte Fluminense;2015;0;0;0;0;0;0;0;13;0;14;10;5;0;0;10;0;6;0;87
Carmo;Centro Fluminense;2015;0;0;0;0;0;0;0;1;2;4;1;2;1;0;4;0;3;0;57
Casimiro de Abreu;Baixadas Litorâneas;2015;1;0;0;1;0;1;0;12;0;9;6;2;1;0;4;2;1;0;111
Conceição de Macabu;Norte Fluminense;2015;1;0;0;1;0;1;2;3;0;8;6;1;1;1;1;0;5;0;56
Cordeiro;Centro Fluminense;2015;0;0;0;0;0;0;0;7;3;5;5;0;0;1;2;0;1;0;60
Duas Barras;Centro Fluminense;2015;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;28
Duque de Caxias;Metropolitana do Rio de Janeiro;2015;13;0;1;14;4;18;32;271;21;53;11;40;3;179;142;31;96;2;3061
Engenheiro Paulo de Frontin;Sul Fluminense;2015;1;0;0;1;0;1;0;7;1;1;1;0;0;0;1;0;0;0;45
Guapimirim;Metropolitana do Rio de Janeiro;2015;1;0;0;1;0;1;1;16;2;2;0;0;2;2;6;1;4;0;142
Iguaba Grande;Baixadas Litorâneas;2015;0;0;0;0;0;0;0;11;2;2;2;0;0;3;2;0;3;0;86
Itaboraí;Metropolitana do Rio de Janeiro;2015;4;0;0;4;0;4;5;72;15;26;1;25;0;13;43;20;7;0;604
Itaguaí;Metropolitana do Rio de Janeiro;2015;9;0;0;9;2;11;13;43;4;13;1;10;3;36;18;5;7;0;486
Italva;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itaocara;Noroeste Fluminense;2015;0;0;0;0;0;0;0;15;1;6;6;0;0;0;2;1;0;1;71
Itaperuna;Noroeste Fluminense;2015;0;0;0;0;0;0;0;32;0;53;33;18;4;1;22;2;5;0;286
Itatiaia;Sul Fluminense;2015;1;0;0;1;0;1;1;6;0;22;19;3;0;0;6;1;2;1;119
Japeri;Metropolitana do Rio de Janeiro;2015;4;0;0;4;0;4;5;43;2;22;3;14;6;11;19;7;65;0;346
Laje do Muriaé;Noroeste Fluminense;2015;0;0;0;0;0;0;0;5;1;2;1;0;1;1;1;0;3;0;24
Macaé;Norte Fluminense;2015;4;0;0;4;0;4;1;83;3;24;2;20;3;6;48;20;9;1;635
Macuco;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magé;Metropolitana do Rio de Janeiro;2015;4;0;0;4;0;4;6;98;4;12;2;9;1;16;46;15;19;0;601
Mangaratiba;Sul Fluminense;2015;0;0;0;0;0;0;1;17;4;3;2;1;0;3;2;0;0;0;140
Maricá;Metropolitana do Rio de Janeiro;2015;3;0;0;3;1;4;2;51;3;7;1;6;0;14;20;3;9;0;560
Mendes;Sul Fluminense;2015;0;0;0;0;0;0;0;6;0;1;0;1;0;0;3;0;2;0;50
Mesquita;Metropolitana do Rio de Janeiro;2015;9;0;0;9;0;9;15;79;2;20;2;18;0;23;35;7;75;0;705
Miguel Pereira;Sul Fluminense;2015;0;0;0;0;0;0;0;22;0;3;1;2;0;1;10;0;2;0;157
Miracema;Noroeste Fluminense;2015;0;0;0;0;0;0;2;13;1;15;11;4;0;0;13;1;5;0;91
Natividade;Noroeste Fluminense;2015;0;0;0;0;0;0;1;10;0;4;3;1;0;1;7;1;2;0;71
Nilópolis;Metropolitana do Rio de Janeiro;2015;5;0;1;6;0;6;5;55;7;5;0;5;0;22;17;1;17;0;679
Niterói;Metropolitana do Rio de Janeiro;2015;14;0;1;15;6;21;19;166;8;55;13;39;5;72;91;38;64;4;2244
Nova Friburgo;Centro Fluminense;2015;0;0;0;0;0;0;4;90;2;56;27;29;2;7;50;17;42;0;633
Nova Iguaçu;Metropolitana do Rio de Janeiro;2015;25;0;2;27;1;28;14;312;25;52;5;48;2;84;136;51;107;0;2934
Paracambi;Metropolitana do Rio de Janeiro;2015;3;0;0;3;0;3;3;24;1;16;4;10;2;1;9;4;2;0;140
Paraíba do Sul;Centro Fluminense;2015;0;0;0;0;0;0;2;12;3;17;10;6;1;0;4;0;62;0;152
Paraty;Sul Fluminense;2015;6;0;0;6;0;6;6;8;4;7;4;3;0;0;10;6;0;1;137
Paty do Alferes;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petrópolis;Centro Fluminense;2015;0;0;0;0;0;0;1;80;10;45;20;21;4;24;48;2;37;0;722
Pinheiral;Sul Fluminense;2015;0;0;0;0;0;0;0;14;0;4;0;4;0;0;8;0;2;0;69
Piraí;Sul Fluminense;2015;0;0;0;0;0;0;0;8;1;19;4;14;1;3;19;2;0;0;94
Porciúncula;Noroeste Fluminense;2015;0;0;0;0;0;0;0;11;2;7;6;2;0;0;0;0;1;0;64
Porto Real;Sul Fluminense;2015;0;0;0;0;0;0;0;16;2;7;2;4;1;3;9;0;5;2;88
Quatis;Sul Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Queimados;Metropolitana do Rio de Janeiro;2015;6;0;0;6;0;6;4;79;6;8;0;5;3;6;21;4;11;1;463
Quissamã;Norte Fluminense;2015;0;0;0;0;0;0;0;12;1;3;2;2;0;4;8;2;4;0;77
Resende;Sul Fluminense;2015;1;0;0;1;0;1;2;59;2;18;8;11;0;1;34;5;13;0;403
Rio Bonito;Baixadas Litorâneas;2015;1;0;0;1;0;1;0;26;2;9;2;6;2;6;20;1;3;0;165
Rio Claro;Sul Fluminense;2015;0;0;0;0;0;0;1;3;2;2;0;2;0;0;1;1;1;0;57
Rio das Flores;Sul Fluminense;2015;0;0;0;0;0;0;0;3;0;1;1;0;0;1;0;0;0;0;14
Rio das Ostras;Baixadas Litorâneas;2015;3;0;0;3;0;3;4;48;8;15;6;9;1;10;15;2;14;0;457
Rio de Janeiro;Metropolitana do Rio de Janeiro;2015;89;0;7;96;24;120;201;2083;126;776;372;327;94;808;1311;319;641;39;29102
Santa Maria Madalena;Norte Fluminense;2015;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;28
Santo Antônio de Pádua;Noroeste Fluminense;2015;0;0;0;0;0;0;0;10;0;28;16;9;3;1;10;1;1;0;135
São Francisco de Itabapoana;Norte Fluminense;2015;0;0;0;0;0;0;1;13;1;7;2;2;3;5;11;1;1;0;98
São Fidélis;Norte Fluminense;2015;1;0;0;1;0;1;0;14;1;8;3;4;2;0;9;0;2;0;76
São Gonçalo;Metropolitana do Rio de Janeiro;2015;9;0;2;11;0;11;21;288;22;88;12;73;5;154;147;61;48;2;3086
São João da Barra;Norte Fluminense;2015;0;0;0;0;0;0;0;15;0;4;2;2;1;1;3;1;1;0;137
São João de Meriti;Metropolitana do Rio de Janeiro;2015;7;0;2;9;2;11;16;198;10;28;3;22;5;77;89;29;15;1;1638
São José de Ubá;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
São José do Vale do Rio Preto;Centro Fluminense;2015;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;21
São Pedro da Aldeia;Baixadas Litorâneas;2015;0;0;0;0;0;0;3;21;1;17;6;11;0;5;22;4;9;0;226
São Sebastião do Alto;Centro Fluminense;2015;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;28
Sapucaia;Centro Fluminense;2015;0;0;0;0;0;0;0;11;0;2;0;2;0;1;7;0;6;0;52
Saquarema;Baixadas Litorâneas;2015;2;0;0;2;0;2;0;40;0;2;2;0;0;4;9;0;2;0;263
Seropédica;Metropolitana do Rio de Janeiro;2015;3;0;0;3;0;3;2;31;1;6;2;3;1;13;5;3;10;1;217
Silva Jardim;Baixadas Litorâneas;2015;0;1;0;1;0;1;0;6;2;5;2;3;0;1;2;0;0;1;56
Sumidouro;Centro Fluminense;2015;0;0;0;0;0;0;0;6;0;1;1;0;0;0;0;0;0;0;25
Tanguá;Metropolitana do Rio de Janeiro;2015;0;0;0;0;0;0;0;7;0;3;1;2;0;2;0;0;2;0;50
Teresópolis;Centro Fluminense;2015;0;0;0;0;0;0;1;69;5;43;21;19;5;2;46;11;29;0;529
Trajano de Moraes;Centro Fluminense;2015;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;20
Três Rios;Centro Fluminense;2015;2;0;0;2;0;2;1;45;8;38;19;20;0;7;31;4;16;0;365
Valença;Sul Fluminense;2015;0;0;0;0;0;0;1;35;0;15;7;7;1;2;6;2;3;0;148
Varre-Sai;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vassouras;Centro Fluminense;2015;0;0;0;0;0;0;2;13;1;7;6;1;0;0;4;0;3;0;86
Volta Redonda;Sul Fluminense;2015;3;0;0;3;0;3;4;75;4;47;17;27;4;11;60;12;17;0;694
Angra dos Reis;Sul Fluminense;2015;5;0;0;5;1;6;14;61;9;52;20;27;7;7;72;9;21;1;483
Aperibé;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Araruama;Baixadas Litorâneas;2015;2;0;0;2;0;2;2;49;5;26;12;13;4;13;26;5;8;1;441
Areal;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armação dos Búzios;Baixadas Litorâneas;2015;0;0;0;0;0;0;0;13;0;11;6;5;0;2;6;0;10;0;204
Arraial do Cabo;Baixadas Litorâneas;2015;0;0;0;0;0;0;4;21;2;11;7;4;0;0;3;3;1;0;106
Barra do Piraí;Sul Fluminense;2015;0;0;0;0;0;0;0;44;2;17;11;5;1;1;9;5;12;0;216
Barra Mansa;Sul Fluminense;2015;1;0;0;1;0;1;3;62;4;30;10;19;2;9;35;11;49;0;503
Belford Roxo;Metropolitana do Rio de Janeiro;2015;15;0;0;15;4;19;9;106;13;27;3;22;2;59;52;21;53;1;929
Bom Jardim;Centro Fluminense;2015;0;0;1;1;0;1;0;7;3;0;0;0;0;0;0;0;2;0;61
Bom Jesus do Itabapoana;Noroeste Fluminense;2015;0;0;0;0;0;0;0;23;2;4;2;2;0;0;12;1;7;1;119
Cabo Frio;Baixadas Litorâneas;2015;9;0;0;9;1;10;10;92;8;77;16;58;3;10;84;31;14;0;759
Cachoeiras de Macacu;Centro Fluminense;2015;2;0;0;2;0;2;0;11;0;3;1;2;0;0;0;1;2;0;136
Cambuci;Noroeste Fluminense;2015;0;0;0;0;0;0;0;8;0;1;1;0;0;0;2;0;0;0;35
Carapebus;Norte Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comendador Levy Gasparian;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campos dos Goytacazes;Norte Fluminense;2015;6;0;0;6;0;6;23;125;16;101;26;57;18;20;133;41;45;3;1348
Cantagalo;Centro Fluminense;2015;0;0;0;0;0;0;0;12;2;11;10;1;0;2;7;1;1;0;61
Cardoso Moreira;Norte Fluminense;2015;0;0;0;0;0;0;0;5;0;11;10;1;1;1;4;0;1;0;72
Carmo;Centro Fluminense;2015;0;0;0;0;0;0;2;16;0;7;6;1;1;1;0;0;3;0;82
Casimiro de Abreu;Baixadas Litorâneas;2015;0;0;0;0;0;0;1;22;1;2;1;1;0;0;4;2;3;0;98
Conceição de Macabu;Norte Fluminense;2015;1;0;0;1;0;1;1;13;0;5;1;4;0;0;2;4;4;0;45
Cordeiro;Centro Fluminense;2015;0;0;0;0;0;0;0;10;1;1;1;0;0;0;2;0;2;0;82
Duas Barras;Centro Fluminense;2015;0;0;0;0;0;0;0;2;2;1;0;1;0;1;3;0;0;0;25
Duque de Caxias;Metropolitana do Rio de Janeiro;2015;28;0;0;28;4;32;23;290;15;55;9;41;6;156;137;25;90;1;3262
Engenheiro Paulo de Frontin;Sul Fluminense;2015;0;0;0;0;0;0;0;8;1;4;3;1;0;0;2;0;3;0;49
Guapimirim;Metropolitana do Rio de Janeiro;2015;2;0;0;2;0;2;0;33;3;1;0;1;0;1;4;2;9;0;155
Iguaba Grande;Baixadas Litorâneas;2015;0;0;0;0;0;0;0;3;0;4;3;1;0;0;3;0;0;0;95
Itaboraí;Metropolitana do Rio de Janeiro;2015;6;0;0;6;1;7;11;70;12;40;4;37;0;18;68;18;17;1;617
Itaguaí;Metropolitana do Rio de Janeiro;2015;6;0;0;6;0;6;4;44;4;12;2;9;2;23;32;2;13;1;529
Italva;Noroeste Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Itaocara;Noroeste Fluminense;2015;2;0;0;2;0;2;0;11;0;10;10;0;0;1;1;0;2;0;69
Itaperuna;Noroeste Fluminense;2015;1;0;0;1;0;1;3;40;2;66;50;18;2;1;42;11;13;0;327
Itatiaia;Sul Fluminense;2015;0;0;0;0;0;0;4;14;0;121;111;10;0;2;20;5;8;2;235
Japeri;Metropolitana do Rio de Janeiro;2015;7;0;0;7;0;7;6;41;2;15;1;14;1;17;25;4;61;0;362
Laje do Muriaé;Noroeste Fluminense;2015;0;0;0;0;0;0;0;4;0;7;5;0;2;0;0;0;0;0;28
Macaé;Norte Fluminense;2015;5;0;0;5;0;5;10;68;4;15;2;11;2;16;42;11;16;0;720
Macuco;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magé;Metropolitana do Rio de Janeiro;2015;4;0;1;5;0;5;7;88;8;18;6;10;3;19;37;11;10;0;654
Mangaratiba;Sul Fluminense;2015;1;0;0;1;0;1;0;21;3;6;1;5;0;2;10;0;0;1;148
Maricá;Metropolitana do Rio de Janeiro;2015;2;0;0;2;0;2;2;71;4;15;10;3;2;6;23;3;11;1;584
Mendes;Sul Fluminense;2015;0;0;0;0;0;0;0;10;1;8;8;0;0;0;1;0;0;0;59
Mesquita;Metropolitana do Rio de Janeiro;2015;5;0;0;5;0;5;4;79;4;17;2;12;3;28;15;6;70;0;743
Miguel Pereira;Sul Fluminense;2015;0;0;0;0;0;0;0;18;8;10;4;3;3;0;3;0;9;0;143
Miracema;Noroeste Fluminense;2015;1;0;0;1;0;1;0;25;1;23;18;5;0;0;7;0;4;1;100
Natividade;Noroeste Fluminense;2015;0;0;0;0;0;0;0;8;3;6;5;0;1;0;2;0;4;0;71
Nilópolis;Metropolitana do Rio de Janeiro;2015;4;0;0;4;0;4;5;55;1;6;0;5;1;18;18;4;11;2;746
Niterói;Metropolitana do Rio de Janeiro;2015;6;0;0;6;7;13;10;161;17;83;20;61;3;78;121;58;82;13;2397
Nova Friburgo;Centro Fluminense;2015;0;0;0;0;0;0;5;83;7;49;21;28;2;9;48;12;15;3;625
Nova Iguaçu;Metropolitana do Rio de Janeiro;2015;16;0;0;16;1;17;14;243;22;57;7;44;7;77;110;39;92;0;2719
Paracambi;Metropolitana do Rio de Janeiro;2015;1;0;0;1;0;1;2;21;2;5;2;2;1;2;2;2;1;0;130
Paraíba do Sul;Centro Fluminense;2015;0;0;0;0;0;0;0;11;0;13;10;1;2;2;9;1;36;2;115
Paraty;Sul Fluminense;2015;1;0;0;1;0;1;5;12;3;15;11;5;0;2;16;4;4;0;162
Paty do Alferes;Centro Fluminense;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petrópolis;Centro Fluminense;2015;3;0;0;3;0;3;0;93;7;46;21;20;5;28;42;5;28;1;807
Pinheiral;Sul Fluminense;2015;0;0;0;0;0;0;0;15;0;8;5;3;0;0;6;0;1;0;61
Piraí;Sul Fluminense;2015;0;0;0;0;0;0;0;12;2;12;6;6;0;4;15;1;3;0;100
Porciúncula;Noroeste Fluminense;2015;0;0;0;0;0;0;1;7;0;1;0;1;0;1;0;1;1;0;58
