fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Iguaba Grande;Baixadas Litorâneas;2022;1;0;0;1;0;1;2;13;2;0;0;0;0;0;4;0;5;0;120
Itaboraí;Metropolitana do Rio de Janeiro;2022;7;0;0;7;4;11;0;53;6;12;1;11;1;23;33;7;10;1;484
Itaguaí;Metropolitana do Rio de Janeiro;2022;6;0;0;6;1;7;2;77;2;9;6;3;0;7;18;2;7;0;666
Italva;Noroeste Fluminense;2022;0;0;0;0;0;0;1;3;0;4;2;1;1;0;2;0;0;0;38
Itaocara;Noroeste Fluminense;2022;1;0;0;1;0;1;0;9;1;9;6;3;0;0;5;3;6;0;100
Itaperuna;Noroeste Fluminense;2022;4;0;0;4;0;4;0;39;2;72;57;15;1;1;35;0;3;0;316
Itatiaia;Sul Fluminense;2022;0;0;0;0;1;1;2;15;2;13;3;9;2;1;23;0;2;0;168
Japeri;Metropolitana do Rio de Janeiro;2022;3;0;0;3;3;6;8;34;3;10;5;4;1;2;17;0;2;1;200
Laje do Muriaé;Noroeste Fluminense;2022;0;0;0;0;0;0;2;7;1;0;0;0;0;0;3;0;0;0;32
Macaé;Norte Fluminense;2022;13;0;0;13;2;15;10;57;5;48;34;11;3;12;42;1;9;0;810
Macuco;Centro Fluminense;2022;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;23
Magé;Metropolitana do Rio de Janeiro;2022;4;0;0;4;1;5;2;94;17;13;4;8;1;8;27;2;6;0;653
Mangaratiba;Sul Fluminense;2022;0;0;0;0;0;0;1;11;6;6;4;2;0;1;8;1;6;0;133
Maricá;Metropolitana do Rio de Janeiro;2022;4;0;0;4;3;7;3;59;5;9;2;7;0;2;17;1;5;1;659
Mendes;Sul Fluminense;2022;0;0;0;0;0;0;0;6;0;15;11;2;2;0;5;1;3;0;83
Mesquita;Metropolitana do Rio de Janeiro;2022;1;0;0;1;0;1;1;54;5;5;0;5;0;4;15;0;4;0;547
Miguel Pereira;Sul Fluminense;2022;0;0;0;0;0;0;0;23;1;25;20;5;0;0;8;1;6;1;143
